[2026-06-01 15:48:44] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:48:51] [admin] [Search] [Target: N/A | 瀏覽全系統清單 (模式: cache)] [127.0.0.1]
[2026-06-01 15:49:01] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 15:49:03] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:49:06] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:49:09] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:49:11] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 15:49:12] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:49:16] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:49:29] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 15:50:21] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:50:44] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:50:45] [admin] [View_Theme] [Target: ai_tech | 瀏覽主題館: Test Title (第1頁)] [127.0.0.1]
[2026-06-01 15:50:47] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:53:51] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:53:59] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:54:02] [admin] [Search] [Target: 25 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-01 15:54:20] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:55:31] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:55:53] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-01 15:55:57] [admin] [View] [Target: MyLibrary | 瀏覽我的書房] [127.0.0.1]
[2026-06-01 15:56:00] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 10:38:48] [Guest] [Login] [Target: testuser | 登入失敗：密碼錯誤] [127.0.0.1]
[2026-06-02 10:38:54] [testuser] [Login] [Target: testuser | 登入成功] [127.0.0.1]
[2026-06-02 10:38:54] [testuser] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 10:41:12] [testuser] [Logout] [Target: 一般使用者 | 使用者登出] [127.0.0.1]
[2026-06-02 10:41:18] [Guest] [Login] [Target: admin | 登入失敗：密碼錯誤] [127.0.0.1]
[2026-06-02 10:41:22] [admin] [Login] [Target: admin | 登入成功] [127.0.0.1]
[2026-06-02 10:41:22] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 10:42:02] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 10:42:03] [admin] [Search] [Target: 圖書館 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-02 10:42:05] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 10:42:06] [admin] [Search] [Target: 第 25 代 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-02 11:11:26] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 11:12:00] [admin] [Admin_Config] [Target: portal_config.json | 更新系統組態設定 (包含登入模式、等級修改說明及 SSO 配置)] [127.0.0.1]
[2026-06-02 11:12:02] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 11:12:03] [admin] [Search] [Target: 羅主要作者 | 執行關鍵字檢索 (模式: cache)] [127.0.0.1]
[2026-06-02 11:12:15] [admin] [Admin_Config] [Target: portal_config.json | 更新系統組態設定 (包含登入模式、等級修改說明及 SSO 配置)] [127.0.0.1]
[2026-06-02 11:12:19] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 11:12:24] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 11:12:42] [admin] [Search] [Target: N/A | 瀏覽全系統清單 (模式: cache)] [127.0.0.1]
[2026-06-02 11:12:46] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
[2026-06-02 11:12:55] [admin] [View] [Target: Index | 瀏覽首頁] [127.0.0.1]
